"","X","Name","Age","Photo","Nationality","Flag","Overall","Potential","Club","Club.Logo","Value","Wage","Special","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Work.Rate","Position","Jersey.Number","Contract.Valid.Until","Height","Weight","LS","ST","RS","LW","LF","CF","RF","RW","LAM","CAM","RAM","LM","LCM","CM","RCM","RM","LWB","LDM","CDM","RDM","RWB","LB","LCB","CB","RCB","RB","Crossing","Finishing","Heading.Accuracy","Short.Passing","Volleys","Dribbling","Curve","FK.Accuracy","Long.Passing","Ball.Control","Acceleration","Sprint.Speed","Agility","Reactions","Balance","Shot.Power","Jumping","Stamina","Strength","Long.Shots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","Standing.Tackle","Sliding.Tackle","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","League","Country","Values","Wages","Class","Name.Pos","Speed","photo_path"
"253",253,"A. Ounas",21,"https://cdn.sofifa.com/players/231/242/20_120.png","Algeria","https://cdn.sofifa.org/flags/97.png",73,82,"Napoli","https://cdn.sofifa.com/teams/48/light_60.png","€6M","€35K",1847,"Left",1,4,3,"Medium/ Medium","RW",11,"2022",173,65,"67+2","67+2","67+2","72+2","71+2","71+2","71+2","72+2","72+2","72+2","72+2","72+2","67+2","67+2","67+2","72+2","61+2","58+2","58+2","58+2","61+2","58+2","51+2","51+2","51+2","58+2",65,68,51,72,64,79,68,62,65,75,86,77,88,64,80,68,58,68,48,65,64,47,68,67,60,65,28,54,47,8,6,8,7,12,"Serie A","Italy",6000000,35000,"Forward","A. Ounas, RW",83.6666666666667,NA
"254",254,"A. Oxlade-Chamberlain",24,"https://cdn.sofifa.com/players/198/784/20_120.png","England","https://cdn.sofifa.org/flags/14.png",80,85,"Liverpool","https://cdn.sofifa.com/teams/9/light_60.png","€19.5M","€94K",2125,"Right",2,4,4,"High/ High","CM",21,"2022",175,70,"73+2","73+2","73+2","80+2","79+2","79+2","79+2","80+2","80+2","80+2","80+2","80+2","78+2","78+2","78+2","80+2","76+2","75+2","75+2","75+2","76+2","73+2","68+2","68+2","68+2","73+2",78,69,39,80,58,84,73,60,75,84,84,85,81,78,88,80,69,82,72,76,77,72,79,81,69,77,67,70,66,16,9,6,9,9,"Premier League","UK",19500000,94000,"Midfielder","A. Oxlade-Chamberlain, CM",83.3333333333333,NA
"255",255,"A. Oyongo",27,"https://cdn.sofifa.com/players/218/540/20_120.png","Cameroon","https://cdn.sofifa.org/flags/103.png",74,75,"Montpellier HSC","https://cdn.sofifa.com/teams/70/light_60.png","€5M","€20K",1964,"Left",1,2,3,"High/ Medium","LWB",8,"2022",175,68,"64+2","64+2","64+2","71+2","69+2","69+2","69+2","71+2","70+2","70+2","70+2","72+2","69+2","69+2","69+2","72+2","72+2","69+2","69+2","69+2","72+2","71+2","65+2","65+2","65+2","71+2",69,54,42,67,45,74,69,64,64,72,86,86,88,76,76,68,70,85,59,62,69,65,68,68,59,70,68,72,70,13,11,9,8,8,"Ligue 1","France",5000000,20000,"Defender","A. Oyongo, LWB",86.6666666666667,NA
"256",256,"A. Özbiliz",28,"https://cdn.sofifa.com/players/200/106/20_120.png","Armenia","https://cdn.sofifa.org/flags/3.png",73,73,"Willem II","https://cdn.sofifa.com/teams/1907/light_60.png","€4M","€40K",1848,"Left",2,3,4,"Medium/ Medium","RW",7,"Jun 30, 2019",175,72,"68+2","68+2","68+2","73+2","71+2","71+2","71+2","73+2","72+2","72+2","72+2","72+2","66+2","66+2","66+2","72+2","56+2","52+2","52+2","52+2","56+2","51+2","42+2","42+2","42+2","51+2",76,72,41,74,70,76,77,80,70,76,79,77,82,62,79,79,65,59,57,78,35,43,65,67,74,62,30,28,23,10,12,14,7,11,"Eredivisie","Netherlands",4000000,40000,"Forward","A. Özbiliz, RW",79.3333333333333,NA
"257",257,"A. Özer",25,"https://cdn.sofifa.com/players/200/955/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",64,67,"Fortuna Sittard","https://cdn.sofifa.com/teams/634/light_60.png","€400K","€1K",1082,"Right",1,3,1,"Medium/ Medium","GK",1,"2019",188,80,"","","","","","","","","","","","","","","","","","","","","","","","","","",13,19,9,24,13,16,17,12,16,23,43,54,46,56,41,37,66,24,64,15,29,24,18,29,16,54,13,14,12,66,64,62,63,64,"Eredivisie","Netherlands",400000,1000,"Goal Keeper","A. Özer, GK",47.6666666666667,NA
"258",258,"A. Öztürk",24,"https://cdn.sofifa.com/players/202/889/20_120.png","Belgium","https://cdn.sofifa.org/flags/7.png",69,75,"Göztepe SK","https://cdn.sofifa.com/teams/101026/light_60.png","€1.2M","€9K",1881,"Right",1,3,3,"Medium/ High","CDM",5,"2021",185,90,"61+2","61+2","61+2","63+2","62+2","62+2","62+2","63+2","63+2","63+2","63+2","64+2","65+2","65+2","65+2","64+2","67+2","68+2","68+2","68+2","67+2","66+2","67+2","67+2","67+2","66+2",65,46,63,72,53,65,66,64,64,65,70,63,68,64,63,76,70,80,72,68,78,65,55,62,56,60,67,68,64,6,9,15,8,11,"Süper Lig","Turkey",1200000,9000,"Midfielder","A. Öztürk, CDM",67,NA
"259",259,"A. Paločević",24,"https://cdn.sofifa.com/players/244/582/20_120.png","Serbia","https://cdn.sofifa.org/flags/51.png",70,75,"CD Nacional","https://cdn.sofifa.com/teams/1891/light_60.png","€2.3M","€6K",1782,"Right",1,4,3,"High/ Medium","CM",26,"2022",180,66,"60+2","60+2","60+2","66+2","65+2","65+2","65+2","66+2","68+2","68+2","68+2","67+2","68+2","68+2","68+2","67+2","62+2","63+2","63+2","63+2","62+2","59+2","56+2","56+2","56+2","59+2",54,48,41,72,54,74,65,63,71,72,73,67,75,73,68,62,59,73,64,66,65,57,53,72,42,73,49,57,44,5,8,11,13,12,"Liga Nos","Portugal",2300000,6000,"Midfielder","A. Paločević, CM",71.6666666666667,NA
"260",260,"A. Paloschi",28,"https://cdn.sofifa.com/players/186/961/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",76,76,"SPAL","https://cdn.sofifa.com/teams/112791/light_60.png","€8M","€17K",1818,"Right",2,4,3,"High/ Low","ST",43,"2021",183,80,"74+2","74+2","74+2","70+2","72+2","72+2","72+2","70+2","68+2","68+2","68+2","68+2","60+2","60+2","60+2","68+2","49+2","48+2","48+2","48+2","49+2","46+2","46+2","46+2","46+2","46+2",52,80,76,68,75,69,70,47,42,76,77,69,78,74,70,74,90,69,76,41,83,21,81,59,80,80,31,16,16,15,15,10,13,5,"Serie A","Italy",8000000,17000,"Forward","A. Paloschi, ST",74.6666666666667,NA
"261",261,"A. Parmak",23,"https://cdn.sofifa.com/players/245/535/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",64,70,"Trabzonspor","https://cdn.sofifa.com/teams/436/light_60.png","€625K","€6K",1594,"Right",1,3,3,"Medium/ Medium","LM",19,"2020",175,70,"58+2","58+2","58+2","62+2","60+2","60+2","60+2","62+2","61+2","61+2","61+2","63+2","56+2","56+2","56+2","63+2","52+2","47+2","47+2","47+2","52+2","50+2","42+2","42+2","42+2","50+2",64,50,47,66,54,68,52,39,59,66,74,77,77,49,73,67,47,65,55,52,36,18,55,55,67,52,34,36,48,10,8,6,9,11,"Süper Lig","Turkey",625000,6000,"Midfielder","A. Parmak, LM",76,NA
"262",262,"A. Peñaranda",21,"https://cdn.sofifa.com/players/231/638/20_120.png","Venezuela","https://cdn.sofifa.org/flags/61.png",73,81,"Watford","https://cdn.sofifa.com/teams/1795/light_60.png","€6M","€32K",1819,"Right",1,3,3,"High/ Medium","ST",17,"2023",185,83,"71+2","71+2","71+2","73+2","73+2","73+2","73+2","73+2","73+2","73+2","73+2","71+2","65+2","65+2","65+2","71+2","54+2","52+2","52+2","52+2","54+2","51+2","48+2","48+2","48+2","51+2",64,71,64,69,75,79,65,63,56,78,78,75,77,70,63,70,60,46,64,69,62,36,72,75,77,65,26,37,31,6,14,13,8,6,"Premier League","UK",6000000,32000,"Forward","A. Peñaranda, ST",76.6666666666667,NA
"263",263,"A. Petagna",23,"https://cdn.sofifa.com/players/215/689/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",76,81,"SPAL","https://cdn.sofifa.com/teams/112791/light_60.png","€10.5M","€25K",1727,"Left",1,3,3,"Medium/ Medium","RS",37,"Jun 30, 2019",190,85,"74+2","74+2","74+2","70+2","73+2","73+2","73+2","70+2","71+2","71+2","71+2","70+2","65+2","65+2","65+2","70+2","52+2","53+2","53+2","53+2","52+2","49+2","50+2","50+2","50+2","49+2",58,75,77,75,62,75,54,40,56,78,52,68,56,72,62,76,69,74,92,56,60,18,78,70,65,71,57,20,15,3,3,3,5,3,"Serie A","Italy",10500000,25000,"Forward","A. Petagna, RS",58.6666666666667,NA
"264",264,"A. Pilkington",30,"https://cdn.sofifa.com/players/179/665/20_120.png","Republic of Ireland","https://cdn.sofifa.org/flags/25.png",68,68,"Cardiff City","https://cdn.sofifa.com/teams/1961/light_60.png","€875K","€19K",1797,"Right",1,4,3,"High/ Low","ST",26,"2019",180,81,"67+2","67+2","67+2","67+2","67+2","67+2","67+2","67+2","67+2","67+2","67+2","67+2","63+2","63+2","63+2","67+2","51+2","51+2","51+2","51+2","51+2","47+2","44+2","44+2","44+2","47+2",72,67,60,65,69,69,72,74,65,69,63,62,68,67,66,74,67,58,71,71,70,49,68,71,65,67,17,22,18,13,14,13,15,13,"Premier League","UK",875000,19000,"Forward","A. Pilkington, ST",64.3333333333333,NA
"265",265,"A. Pinamonti",19,"https://cdn.sofifa.com/players/235/842/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",64,80,"Frosinone","https://cdn.sofifa.com/teams/111657/light_60.png","€975K","€6K",1464,"Right",1,3,3,"Medium/ Medium","ST",89,"Jun 30, 2019",188,72,"63+2","63+2","63+2","58+2","60+2","60+2","60+2","58+2","57+2","57+2","57+2","55+2","50+2","50+2","50+2","55+2","39+2","37+2","37+2","37+2","39+2","37+2","36+2","36+2","36+2","37+2",40,69,65,53,51,63,43,43,36,67,54,53,64,59,64,65,65,48,66,60,37,16,63,45,65,56,15,19,19,14,10,15,7,11,"Serie A","Italy",975000,6000,"Forward","A. Pinamonti, ST",57,NA
"266",266,"A. Plea",25,"https://cdn.sofifa.com/players/206/467/20_120.png","France","https://cdn.sofifa.org/flags/18.png",81,83,"Borussia Mönchengladbach","https://cdn.sofifa.com/teams/23/light_60.png","€22M","€40K",2054,"Right",2,3,4,"High/ Medium","LW",14,"2023",180,79,"79+2","79+2","79+2","79+2","79+2","79+2","79+2","79+2","78+2","78+2","78+2","78+2","73+2","73+2","73+2","78+2","62+2","59+2","59+2","59+2","62+2","58+2","53+2","53+2","53+2","58+2",78,82,73,76,81,78,78,74,68,79,78,77,79,81,78,83,75,82,77,81,63,39,83,78,65,76,29,40,30,11,15,16,12,15,"Bundesliga","Germany",22000000,40000,"Forward","A. Plea, LW",78,NA
"267",267,"A. Plizzari",18,"https://cdn.sofifa.com/players/236/378/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",66,84,"Milan","https://cdn.sofifa.com/teams/47/light_60.png","€1.1M","€4K",1075,"Right",1,1,1,"Medium/ Medium","GK",35,"2019",188,73,"","","","","","","","","","","","","","","","","","","","","","","","","","",13,5,20,36,17,21,15,19,26,23,45,37,57,47,33,37,63,25,54,19,16,13,6,35,15,53,16,20,13,68,68,59,62,72,"Serie A","Italy",1100000,4000,"Goal Keeper","A. Plizzari, GK",46.3333333333333,NA
"268",268,"A. Poli",28,"https://cdn.sofifa.com/players/185/174/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",77,77,"Bologna","https://cdn.sofifa.com/teams/189/light_60.png","€9M","€34K",2040,"Right",2,3,4,"Medium/ Medium","RCM",16,"2021",183,77,"69+2","69+2","69+2","73+2","73+2","73+2","73+2","73+2","75+2","75+2","75+2","74+2","76+2","76+2","76+2","74+2","74+2","75+2","75+2","75+2","74+2","73+2","71+2","71+2","71+2","73+2",68,54,60,80,69,79,72,68,74,80,73,75,75,76,75,72,68,76,65,72,70,74,74,78,68,74,76,72,72,5,5,5,5,5,"Serie A","Italy",9000000,34000,"Midfielder","A. Poli, RCM",74.3333333333333,NA
"269",269,"A. Potuk",27,"https://cdn.sofifa.com/players/194/079/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",75,76,"Fenerbahçe SK","https://cdn.sofifa.com/teams/326/light_60.png","€7.5M","€53K",1934,"Right",1,4,3,"High/ Medium","CAM",7,"2022",178,67,"69+2","69+2","69+2","73+2","72+2","72+2","72+2","73+2","73+2","73+2","73+2","73+2","71+2","71+2","71+2","73+2","65+2","64+2","64+2","64+2","65+2","63+2","58+2","58+2","58+2","63+2",70,60,59,75,50,77,75,40,74,75,77,79,87,74,83,75,72,79,61,70,78,46,72,71,50,70,58,49,49,12,12,7,10,8,"Süper Lig","Turkey",7500000,53000,"Midfielder","A. Potuk, CAM",81,NA
"270",270,"A. Poulsen",18,"https://cdn.sofifa.com/players/236/875/20_120.png","Denmark","https://cdn.sofifa.org/flags/13.png",62,77,"Borussia Mönchengladbach","https://cdn.sofifa.com/teams/23/light_60.png","€550K","€2K",1585,"Left",1,3,3,"High/ Medium","LB",40,"2023",188,80,"55+2","55+2","55+2","59+2","57+2","57+2","57+2","59+2","57+2","57+2","57+2","60+2","57+2","57+2","57+2","60+2","61+2","58+2","58+2","58+2","61+2","61+2","58+2","58+2","58+2","61+2",61,42,52,60,33,63,54,30,55,65,69,79,66,53,57,47,55,68,63,42,48,57,59,47,35,64,62,63,55,11,9,8,6,11,"Bundesliga","Germany",550000,2000,"Defender","A. Poulsen, LB",71.3333333333333,NA
"271",271,"A. Pritchard",25,"https://cdn.sofifa.com/players/205/351/20_120.png","England","https://cdn.sofifa.org/flags/14.png",74,78,"Huddersfield Town","https://cdn.sofifa.com/teams/1939/light_60.png","€7.5M","€37K",1845,"Right",1,4,3,"High/ Medium","LS",21,"2021",170,62,"66+2","66+2","66+2","71+2","71+2","71+2","71+2","71+2","72+2","72+2","72+2","71+2","69+2","69+2","69+2","71+2","58+2","57+2","57+2","57+2","58+2","55+2","46+2","46+2","46+2","55+2",70,67,42,74,63,74,75,77,72,76,75,66,75,66,85,76,48,62,32,69,67,40,71,76,66,68,40,40,43,13,13,14,10,8,"Premier League","UK",7500000,37000,"Forward","A. Pritchard, LS",72,NA
"272",272,"A. Putsila",31,"https://cdn.sofifa.com/players/186/504/20_120.png","Belarus","https://cdn.sofifa.org/flags/6.png",70,70,"MKE Ankaragücü","https://cdn.sofifa.com/teams/101007/light_60.png","€1.6M","€12K",1832,"Right",2,4,3,"Medium/ Medium","CAM",15,"2020",180,74,"67+2","67+2","67+2","69+2","68+2","68+2","68+2","69+2","69+2","69+2","69+2","69+2","66+2","66+2","66+2","69+2","61+2","59+2","59+2","59+2","61+2","59+2","55+2","55+2","55+2","59+2",70,69,56,70,63,73,70,59,63,75,71,68,75,63,77,72,53,70,69,69,51,51,64,65,52,68,42,54,47,7,15,14,9,6,"Süper Lig","Turkey",1600000,12000,"Midfielder","A. Putsila, CAM",71.3333333333333,NA
"273",273,"A. Rabiot",23,"https://cdn.sofifa.com/players/210/008/20_120.png","France","https://cdn.sofifa.org/flags/18.png",83,87,"Paris Saint-Germain","https://cdn.sofifa.com/teams/73/light_60.png","€33M","€91K",2184,"Left",2,3,3,"High/ Medium","CM",25,"2019",193,80,"77+2","77+2","77+2","77+2","78+2","78+2","78+2","77+2","79+2","79+2","79+2","78+2","81+2","81+2","81+2","78+2","78+2","80+2","80+2","80+2","78+2","77+2","77+2","77+2","77+2","77+2",70,69,77,85,72,79,73,59,83,83,73,74,79,83,72,80,73,82,80,79,76,80,76,80,69,82,70,81,75,9,12,9,7,15,"Ligue 1","France",33000000,91000,"Midfielder","A. Rabiot, CM",75.3333333333333,NA
"274",274,"A. Racioppi",19,"https://cdn.sofifa.com/players/243/573/20_120.png","Switzerland","https://cdn.sofifa.org/flags/47.png",59,76,"Olympique Lyonnais","https://cdn.sofifa.com/teams/66/light_60.png","€280K","€2K",859,"Right",1,2,1,"Medium/ Medium","GK",16,"2021",185,80,"","","","","","","","","","","","","","","","","","","","","","","","","","",12,7,12,19,5,7,10,14,24,15,31,28,39,58,31,20,46,20,40,6,23,9,6,32,19,43,10,14,12,60,54,56,57,63,"Ligue 1","France",280000,2000,"Goal Keeper","A. Racioppi, GK",32.6666666666667,NA
"275",275,"A. Raggi",34,"https://cdn.sofifa.com/players/163/407/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",75,75,"AS Monaco","https://cdn.sofifa.com/teams/69/light_60.png","€2M","€48K",1838,"Right",2,3,2,"Medium/ Medium","CB",24,"2019",188,82,"62+2","62+2","62+2","61+2","61+2","61+2","61+2","61+2","62+2","62+2","62+2","63+2","66+2","66+2","66+2","63+2","69+2","72+2","72+2","72+2","69+2","70+2","74+2","74+2","74+2","70+2",72,44,75,74,50,61,48,39,66,72,51,51,63,73,58,69,69,64,77,56,82,74,59,54,57,74,76,73,75,6,10,14,10,16,"Ligue 1","France",2000000,48000,"Defender","A. Raggi, CB",55,NA
"276",276,"A. Rami",32,"https://cdn.sofifa.com/players/183/280/20_120.png","France","https://cdn.sofifa.org/flags/18.png",82,82,"Olympique de Marseille","https://cdn.sofifa.com/teams/219/light_60.png","€12.5M","€57K",1793,"Right",3,3,2,"High/ High","RCB",23,"2021",190,90,"59+3","59+3","59+3","53+3","55+3","55+3","55+3","53+3","56+3","56+3","56+3","56+3","63+3","63+3","63+3","56+3","70+3","75+3","75+3","75+3","70+3","72+3","80+3","80+3","80+3","72+3",36,45,77,66,45,56,43,55,68,68,52,67,54,75,54,77,76,84,91,58,83,83,24,44,48,77,81,83,79,5,3,5,5,3,"Ligue 1","France",12500000,57000,"Defender","A. Rami, RCB",57.6666666666667,NA
"277",277,"A. Ramsdale",20,"https://cdn.sofifa.com/players/233/934/20_120.png","England","https://cdn.sofifa.org/flags/14.png",62,76,"Bournemouth","https://cdn.sofifa.com/teams/1943/light_60.png","€550K","€4K",1102,"Right",1,2,1,"Medium/ Medium","GK",12,"2021",188,77,"","","","","","","","","","","","","","","","","","","","","","","","","","",15,14,25,21,18,28,16,29,19,26,33,36,45,50,52,35,58,35,51,19,35,12,5,44,28,44,14,11,19,63,59,57,60,70,"Premier League","UK",550000,4000,"Goal Keeper","A. Ramsdale, GK",38,NA
"278",278,"A. Ramsey",27,"https://cdn.sofifa.com/players/186/561/20_120.png","Wales","https://cdn.sofifa.org/flags/50.png",82,83,"Arsenal","https://cdn.sofifa.com/teams/1/light_60.png","€25M","€130K",2110,"Right",3,3,3,"High/ High","CAM",10,"2019",183,76,"75+3","75+3","75+3","77+3","78+3","78+3","78+3","77+3","79+3","79+3","79+3","78+3","80+3","80+3","80+3","78+3","75+3","75+3","75+3","75+3","75+3","72+3","69+3","69+3","69+3","72+3",75,74,58,84,79,81,70,66,80,82,64,69,73,81,74,81,66,89,67,74,73,69,84,79,75,81,66,70,67,6,11,5,10,8,"Premier League","UK",25000000,130000,"Midfielder","A. Ramsey, CAM",68.6666666666667,NA
"279",279,"A. Ranocchia",30,"https://cdn.sofifa.com/players/182/168/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",76,76,"Inter","https://cdn.sofifa.com/teams/44/light_60.png","€5.5M","€47K",1559,"Right",2,3,2,"Low/ Medium","CB",13,"2019",196,81,"48+2","48+2","48+2","47+2","49+2","49+2","49+2","47+2","52+2","52+2","52+2","51+2","60+2","60+2","60+2","51+2","64+2","70+2","70+2","70+2","64+2","65+2","74+2","74+2","74+2","65+2",45,22,75,67,24,58,30,34,65,66,31,39,44,65,31,59,74,61,80,31,68,80,24,56,34,69,75,80,76,12,15,11,12,15,"Serie A","Italy",5500000,47000,"Defender","A. Ranocchia, CB",38,NA
"280",280,"A. Rebić",24,"https://cdn.sofifa.com/players/220/018/20_120.png","Croatia","https://cdn.sofifa.org/flags/10.png",79,82,"Eintracht Frankfurt","https://cdn.sofifa.com/teams/1824/light_60.png","€16M","€39K",1987,"Right",1,3,3,"High/ Medium","CAM",4,"2022",185,78,"78+2","78+2","78+2","77+2","77+2","77+2","77+2","77+2","75+2","75+2","75+2","76+2","69+2","69+2","69+2","76+2","59+2","57+2","57+2","57+2","59+2","56+2","53+2","53+2","53+2","56+2",74,79,71,72,83,83,75,58,57,79,83,86,75,77,66,81,66,80,83,78,84,29,75,68,63,73,20,50,25,13,15,12,13,14,"Bundesliga","Germany",16000000,39000,"Midfielder","A. Rebić, CAM",81.3333333333333,NA
"281",281,"A. Reca",23,"https://cdn.sofifa.com/players/234/760/20_120.png","Poland","https://cdn.sofifa.org/flags/37.png",63,69,"Atalanta","https://cdn.sofifa.com/teams/39/light_60.png","€425K","€4K",1797,"Left",1,3,3,"High/ Medium","LB",7,"2020",188,76,"64+2","64+2","64+2","66+2","66+2","66+2","66+2","66+2","66+2","66+2","66+2","67+2","64+2","64+2","64+2","67+2","62+2","61+2","61+2","61+2","62+2","62+2","60+2","60+2","60+2","62+2",57,56,62,65,48,73,51,45,62,67,83,79,65,55,52,60,83,69,69,54,55,51,69,71,65,60,57,62,59,8,12,13,10,10,"Serie A","Italy",425000,4000,"Defender","A. Reca, LB",75.6666666666667,NA
"282",282,"A. Regattin",26,"https://cdn.sofifa.com/players/197/081/20_120.png","Morocco","https://cdn.sofifa.org/flags/129.png",73,73,"Akhisar Belediyespor","https://cdn.sofifa.com/teams/111340/light_60.png","€4.3M","€15K",1997,"Right",1,3,3,"High/ Low","LM",34,"2020",165,66,"67+2","67+2","67+2","72+2","70+2","70+2","70+2","72+2","71+2","71+2","71+2","72+2","69+2","69+2","69+2","72+2","66+2","64+2","64+2","64+2","66+2","63+2","58+2","58+2","58+2","63+2",75,58,51,73,71,74,76,77,71,73,78,80,85,69,90,75,63,71,60,73,77,63,70,69,72,71,50,52,47,9,10,9,12,14,"Süper Lig","Turkey",4300000,15000,"Midfielder","A. Regattin, LM",81,NA
"283",283,"A. Richards",27,"https://cdn.sofifa.com/players/193/303/20_120.png","Wales","https://cdn.sofifa.org/flags/50.png",69,69,"Cardiff City","https://cdn.sofifa.com/teams/1961/light_60.png","€875K","€19K",1740,"Right",1,3,3,"Medium/ Medium","RB",6,"2019",175,75,"57+2","57+2","57+2","60+2","59+2","59+2","59+2","60+2","60+2","60+2","60+2","62+2","62+2","62+2","62+2","62+2","67+2","66+2","66+2","66+2","67+2","67+2","67+2","67+2","67+2","67+2",68,35,60,69,36,65,53,42,66,66,68,68,69,64,62,56,64,68,73,50,65,63,57,50,50,60,70,72,71,11,6,6,8,9,"Premier League","UK",875000,19000,"Defender","A. Richards, RB",68.3333333333333,NA
"284",284,"A. Robben",34,"https://cdn.sofifa.com/players/901/4/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",84,84,"FC Bayern München","https://cdn.sofifa.com/teams/21/light_60.png","€15.5M","€110K",2044,"Left",4,2,4,"High/ Low","RM",10,"2019",180,80,"80+3","80+3","80+3","84+3","84+3","84+3","84+3","84+3","83+3","83+3","83+3","82+3","76+3","76+3","76+3","82+3","60+3","57+3","57+3","57+3","60+3","55+3","46+3","46+3","46+3","55+3",80,85,51,82,86,89,90,81,71,88,83,76,87,85,90,86,60,64,67,86,47,37,84,80,78,85,30,26,26,10,8,11,5,15,"Bundesliga","Germany",15500000,110000,"Midfielder","A. Robben, RM",82,NA
"285",285,"A. Robertson",24,"https://cdn.sofifa.com/players/216/267/20_120.png","Scotland","https://cdn.sofifa.org/flags/42.png",82,87,"Liverpool","https://cdn.sofifa.com/teams/9/light_60.png","€24.5M","€98K",2023,"Left",1,2,3,"High/ High","LB",3,"2021",178,64,"68+2","68+2","68+2","74+2","72+2","72+2","72+2","74+2","73+2","73+2","73+2","76+2","74+2","74+2","74+2","76+2","81+2","77+2","77+2","77+2","81+2","80+2","75+2","75+2","75+2","80+2",86,57,63,76,32,76,74,30,68,78,81,86,78,81,74,67,59,89,66,60,78,80,66,74,55,73,80,81,78,11,8,10,7,14,"Premier League","UK",24500000,98000,"Defender","A. Robertson, LB",81.6666666666667,NA
"286",286,"A. Romagnoli",23,"https://cdn.sofifa.com/players/210/413/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",82,89,"Milan","https://cdn.sofifa.com/teams/47/light_60.png","€26.5M","€84K",1750,"Left",2,3,2,"Medium/ High","LCB",13,"2022",188,78,"56+2","56+2","56+2","55+2","56+2","56+2","56+2","55+2","57+2","57+2","57+2","58+2","63+2","63+2","63+2","58+2","71+2","76+2","76+2","76+2","71+2","74+2","81+2","81+2","81+2","74+2",36,30,76,70,28,65,36,24,69,69,63,69,60,78,53,64,78,75,81,46,84,85,31,40,34,76,88,85,81,9,14,12,8,9,"Serie A","Italy",26500000,84000,"Defender","A. Romagnoli, LCB",64,NA
"287",287,"A. Romao",34,"https://cdn.sofifa.com/players/159/175/20_120.png","Togo","https://cdn.sofifa.org/flags/144.png",74,74,"Stade de Reims","https://cdn.sofifa.com/teams/379/light_60.png","€1.7M","€16K",1885,"Right",2,3,3,"Medium/ High","RDM",4,"2020",180,74,"61+2","61+2","61+2","62+2","63+2","63+2","63+2","62+2","65+2","65+2","65+2","64+2","69+2","69+2","69+2","64+2","70+2","73+2","73+2","73+2","70+2","70+2","74+2","74+2","74+2","70+2",60,42,71,71,57,64,35,45,66,71,55,60,67,72,70,69,76,76,76,67,85,78,55,70,57,77,68,78,75,14,6,7,13,9,"Ligue 1","France",1700000,16000,"Midfielder","A. Romao, RDM",60.6666666666667,NA
"288",288,"A. Rosati",35,"https://cdn.sofifa.com/players/149/309/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",69,69,"Torino","https://cdn.sofifa.com/teams/54/light_60.png","€250K","€9K",1045,"Right",1,1,1,"Medium/ Medium","GK",25,"2019",196,81,"","","","","","","","","","","","","","","","","","","","","","","","","","",11,8,10,24,14,11,15,16,31,21,32,31,36,73,50,21,68,36,65,12,22,9,7,43,25,58,11,10,12,68,69,46,70,68,"Serie A","Italy",250000,9000,"Goal Keeper","A. Rosati, GK",33,NA
"289",289,"A. Rossi",21,"https://cdn.sofifa.com/players/233/809/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",67,77,"Lazio","https://cdn.sofifa.com/teams/46/light_60.png","€1.3M","€12K",1578,"Right",1,2,3,"High/ Low","ST",97,"2021",183,78,"66+2","66+2","66+2","62+2","63+2","63+2","63+2","62+2","61+2","61+2","61+2","61+2","56+2","56+2","56+2","61+2","48+2","46+2","46+2","46+2","48+2","46+2","43+2","43+2","43+2","46+2",52,69,64,65,64,64,53,50,49,66,67,63,58,62,46,70,62,59,73,60,43,32,66,48,53,55,28,26,24,7,5,14,10,6,"Serie A","Italy",1300000,12000,"Forward","A. Rossi, ST",62.6666666666667,NA
"290",290,"A. Rüdiger",25,"https://cdn.sofifa.com/players/205/452/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",82,84,"Chelsea","https://cdn.sofifa.com/teams/5/light_60.png","€22.5M","€110K",1843,"Right",2,3,2,"Medium/ High","CB",16,"2022",190,85,"58+2","58+2","58+2","59+2","58+2","58+2","58+2","59+2","60+2","60+2","60+2","62+2","65+2","65+2","65+2","62+2","74+2","76+2","76+2","76+2","74+2","76+2","81+2","81+2","81+2","76+2",68,27,80,75,34,59,35,56,72,69,67,78,59,82,50,70,73,60,82,41,88,80,33,57,40,72,82,85,82,14,15,10,12,8,"Premier League","UK",22500000,110000,"Defender","A. Rüdiger, CB",68,NA
